stage,param_id,parameter_set,a,b,c,d,direction,stage2_source
2,a100_b0.9_c900_d7200_continuation,a=100s | b=0.9x sigma | c=900s | d=7200s | continuation,100,0.9,900,7200,continuation,refined_from_stage1_gate_survivors
2,a100_b0.9_c900_d14400_continuation,a=100s | b=0.9x sigma | c=900s | d=14400s | continuation,100,0.9,900,14400,continuation,refined_from_stage1_gate_survivors
2,a100_b0.9_c3600_d1800_reversal,a=100s | b=0.9x sigma | c=3600s | d=1800s | reversal,100,0.9,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a100_b0.9_c3600_d7200_reversal,a=100s | b=0.9x sigma | c=3600s | d=7200s | reversal,100,0.9,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a100_b0.9_c3600_d14400_reversal,a=100s | b=0.9x sigma | c=3600s | d=14400s | reversal,100,0.9,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c900_d14400_reversal,a=120s | b=0.3x sigma | c=900s | d=14400s | reversal,120,0.3,900,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1200_d14400_reversal,a=120s | b=0.3x sigma | c=1200s | d=14400s | reversal,120,0.3,1200,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1500_d14400_reversal,a=120s | b=0.3x sigma | c=1500s | d=14400s | reversal,120,0.3,1500,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1800_d7200_reversal,a=120s | b=0.3x sigma | c=1800s | d=7200s | reversal,120,0.3,1800,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1800_d9600_reversal,a=120s | b=0.3x sigma | c=1800s | d=9600s | reversal,120,0.3,1800,9600,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1800_d12000_reversal,a=120s | b=0.3x sigma | c=1800s | d=12000s | reversal,120,0.3,1800,12000,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c1800_d14400_continuation,a=120s | b=0.3x sigma | c=1800s | d=14400s | continuation,120,0.3,1800,14400,continuation,refined_from_stage1_gate_survivors
2,a120_b0.3_c1800_d14400_reversal,a=120s | b=0.3x sigma | c=1800s | d=14400s | reversal,120,0.3,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c2400_d14400_reversal,a=120s | b=0.3x sigma | c=2400s | d=14400s | reversal,120,0.3,2400,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3000_d14400_reversal,a=120s | b=0.3x sigma | c=3000s | d=14400s | reversal,120,0.3,3000,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d1800_reversal,a=120s | b=0.3x sigma | c=3600s | d=1800s | reversal,120,0.3,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d7200_reversal,a=120s | b=0.3x sigma | c=3600s | d=7200s | reversal,120,0.3,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d9600_reversal,a=120s | b=0.3x sigma | c=3600s | d=9600s | reversal,120,0.3,3600,9600,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d12000_reversal,a=120s | b=0.3x sigma | c=3600s | d=12000s | reversal,120,0.3,3600,12000,reversal,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d14400_continuation,a=120s | b=0.3x sigma | c=3600s | d=14400s | continuation,120,0.3,3600,14400,continuation,refined_from_stage1_gate_survivors
2,a120_b0.3_c3600_d14400_reversal,a=120s | b=0.3x sigma | c=3600s | d=14400s | reversal,120,0.3,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.4_c1800_d14400_reversal,a=120s | b=0.4x sigma | c=1800s | d=14400s | reversal,120,0.4,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.4_c3600_d1800_reversal,a=120s | b=0.4x sigma | c=3600s | d=1800s | reversal,120,0.4,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.4_c3600_d7200_reversal,a=120s | b=0.4x sigma | c=3600s | d=7200s | reversal,120,0.4,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.4_c3600_d14400_reversal,a=120s | b=0.4x sigma | c=3600s | d=14400s | reversal,120,0.4,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c900_d14400_continuation,a=120s | b=0.5x sigma | c=900s | d=14400s | continuation,120,0.5,900,14400,continuation,refined_from_stage1_gate_survivors
2,a120_b0.5_c900_d14400_reversal,a=120s | b=0.5x sigma | c=900s | d=14400s | reversal,120,0.5,900,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1200_d14400_reversal,a=120s | b=0.5x sigma | c=1200s | d=14400s | reversal,120,0.5,1200,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1500_d14400_reversal,a=120s | b=0.5x sigma | c=1500s | d=14400s | reversal,120,0.5,1500,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d1800_reversal,a=120s | b=0.5x sigma | c=1800s | d=1800s | reversal,120,0.5,1800,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d9600_reversal,a=120s | b=0.5x sigma | c=1800s | d=9600s | reversal,120,0.5,1800,9600,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d12000_reversal,a=120s | b=0.5x sigma | c=1800s | d=12000s | reversal,120,0.5,1800,12000,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d14400_continuation,a=120s | b=0.5x sigma | c=1800s | d=14400s | continuation,120,0.5,1800,14400,continuation,refined_from_stage1_gate_survivors
2,a120_b0.5_c1800_d14400_reversal,a=120s | b=0.5x sigma | c=1800s | d=14400s | reversal,120,0.5,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c2400_d1800_reversal,a=120s | b=0.5x sigma | c=2400s | d=1800s | reversal,120,0.5,2400,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c2400_d7200_reversal,a=120s | b=0.5x sigma | c=2400s | d=7200s | reversal,120,0.5,2400,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c2400_d14400_reversal,a=120s | b=0.5x sigma | c=2400s | d=14400s | reversal,120,0.5,2400,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3000_d1800_reversal,a=120s | b=0.5x sigma | c=3000s | d=1800s | reversal,120,0.5,3000,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3000_d7200_reversal,a=120s | b=0.5x sigma | c=3000s | d=7200s | reversal,120,0.5,3000,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3000_d14400_reversal,a=120s | b=0.5x sigma | c=3000s | d=14400s | reversal,120,0.5,3000,14400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d1800_continuation,a=120s | b=0.5x sigma | c=3600s | d=1800s | continuation,120,0.5,3600,1800,continuation,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d1800_reversal,a=120s | b=0.5x sigma | c=3600s | d=1800s | reversal,120,0.5,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d3600_reversal,a=120s | b=0.5x sigma | c=3600s | d=3600s | reversal,120,0.5,3600,3600,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d5400_reversal,a=120s | b=0.5x sigma | c=3600s | d=5400s | reversal,120,0.5,3600,5400,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d7200_continuation,a=120s | b=0.5x sigma | c=3600s | d=7200s | continuation,120,0.5,3600,7200,continuation,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d7200_reversal,a=120s | b=0.5x sigma | c=3600s | d=7200s | reversal,120,0.5,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a120_b0.5_c3600_d9600_reversal,a=120s | b=0.5x sigma | c=3600s | d=9600s | reversal,120,0.5,3600,9600,reversal,refined_from_stage1_gate_survivors
