delay_s,percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,label
120,95.0,1800,7200,continuation,exit_by_midnight,down,any,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=any | time=any | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,any,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=any | time=early | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,any,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=any | time=mid | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,any,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=any | time=late | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,high,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=high | time=any | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,high,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=high | time=early | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,high,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=high | time=mid | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,down,high,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=down | vol=high | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,any,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,any,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,any,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,any,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,high,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=high | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,high,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=high | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,high,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=high | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,any,high,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=high | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,any,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=any | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,any,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=any | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,any,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=any | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,any,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=any | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,high,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=high | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,high,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=high | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,high,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=high | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,up,high,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=up | vol=high | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,any,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,any,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,any,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,any,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=late | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,high,any,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=high | time=any | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,high,early,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=high | time=early | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,high,mid,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=high | time=mid | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,down,high,late,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,any,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,up,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,down,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,any,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,up,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=high | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=late | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=high | time=any | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=high | time=early | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=high | time=mid | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,down,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,any,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,up,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,down,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,any,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,up,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=up | vol=high | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,any,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=any | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,any,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=any | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,any,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=any | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,any,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=any | time=late | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,high,any,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=high | time=any | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,high,early,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=high | time=early | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,high,mid,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=high | time=mid | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,down,high,late,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=high | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,high,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=high | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,any,high,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=any | vol=high | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,any,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,any,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,any,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,any,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,high,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=high | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,high,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=high | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,high,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=high | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,up,high,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=high | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,any,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=any | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,any,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=any | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,any,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=any | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,any,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=any | time=late | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,high,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=high | time=any | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,high,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=high | time=early | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,high,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=high | time=mid | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,down,high,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=down | vol=high | time=late | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,any,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=any | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,any,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=early | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,any,mid,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=mid | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,any,late,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,high,any,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=high | time=any | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,any,high,early,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=high | time=early | exit_by_midnight
